date,distance_m,time_sec,elevation_gain,avg_heartrate,max_heartrate,avg_speed_ms,distance_km,pace_min_km
2026-03-03T18:13:34Z,3272.2,808,21.4,162.1,169.0,4.05,3.2721999999999998,4.115477864026242
2026-02-28T12:38:08Z,4959.9,1841,13.4,146.1,152.0,2.694,4.959899999999999,6.1862806373784425
2026-02-15T20:19:48Z,1653.0,424,0.0,166.5,178.0,3.899,1.653,4.275055454728776
2026-02-14T13:37:02Z,14013.1,4879,88.2,140.9,154.0,2.872,14.0131,5.802903473654414
2026-02-08T18:53:28Z,3023.2,909,11.2,151.6,156.0,3.326,3.0231999999999997,5.011246361471289
2026-02-04T14:55:07Z,5760.3,1606,22.2,162.7,171.0,3.587,5.7603,4.646748722578106
2026-01-25T16:50:53Z,5064.0,1869,39.2,142.6,147.0,2.709,5.064,6.15126382306477
2026-01-20T16:22:40Z,5049.9,1392,34.6,154.8,158.0,3.628,5.0499,4.59415037921543
2026-01-15T08:17:02Z,5003.2,1573,29.2,150.3,182.0,3.181,5.0032,5.239979746295704
2026-01-12T19:23:58Z,4016.2,1091,28.8,147.0,147.0,3.681,4.0161999999999995,4.527496970602394
2026-01-10T23:20:58Z,4011.7,1866,18.4,127.3,159.0,2.15,4.011699999999999,7.752324450980883
2026-01-03T16:10:12Z,5055.3,1674,0.0,154.8,172.0,3.02,5.0553,5.518960299092042
2025-12-26T12:15:41Z,5022.9,1376,33.4,157.1,160.0,3.65,5.0229,4.565755506447139
2025-12-19T18:58:12Z,4019.3,1196,23.0,161.5,168.0,3.361,4.0193,4.95940420802959
2025-12-13T14:27:16Z,5124.0,1782,35.8,148.0,161.0,2.875,5.124,5.796252927400468
2025-12-06T22:26:52Z,4037.8,1146,26.6,148.9,169.0,3.523,4.0378,4.730298677497648
2025-11-30T10:21:21Z,4165.3,1455,28.0,158.9,170.0,2.863,4.1653,5.82190958634432
2025-11-21T23:59:46Z,4024.7,1187,15.6,163.0,172.0,3.391,4.0247,4.9154802428338344
2025-11-20T20:38:09Z,4012.4,1190,25.0,155.9,163.0,3.372,4.0124,4.943010002326122
2025-11-16T18:24:03Z,5601.2,1963,20.0,139.8,151.0,2.853,5.6011999999999995,5.8410102597062545
2025-11-14T18:49:01Z,4103.7,1317,0.0,149.1,177.0,3.116,4.1037,5.348831542266735
2025-11-12T23:13:57Z,4022.7,1778,0.0,121.4,143.0,2.262,4.0226999999999995,7.3665282853141765
2025-11-11T18:39:35Z,4068.5,1424,24.2,149.1,155.0,2.857,4.0685,5.833435746180001
2025-11-10T18:33:04Z,4028.1,1159,16.2,159.7,168.0,3.476,4.0281,4.795478430691062
2025-11-07T19:30:09Z,4583.7,1408,27.8,162.0,171.0,3.255,4.583699999999999,5.119590432765379
2025-11-05T21:59:21Z,4186.9,1699,0.0,150.5,181.0,2.464,4.1869,6.763158104245783
2025-11-02T12:08:43Z,13189.5,5951,139.8,135.8,157.0,2.216,13.1895,7.5198706041421834
2025-11-01T20:51:36Z,4009.3,1312,23.4,143.0,150.0,3.056,4.0093000000000005,5.453986148870542
