date,distance_m,time_sec,elevation_gain,avg_heartrate,max_heartrate,avg_speed_ms,distance_km,pace_min_km
2026-03-05T11:41:27Z,11513.9,3777,72.4,,,3.048,11.5139,5.46730473601473
2026-03-04T16:10:41Z,5088.1,1619,24.4,,,3.143,5.088100000000001,5.303223862214447
2026-03-03T11:30:39Z,12876.2,4083,77.2,,,3.154,12.8762,5.284944315869589
2026-02-28T11:17:55Z,22536.2,7462,163.3,,,3.02,22.5362,5.518528707886274
2026-02-26T11:25:48Z,12960.3,4184,82.1,,,3.098,12.9603,5.380533886818464
2026-02-24T11:28:53Z,11511.5,3737,72.4,,,3.08,11.5115,5.410531497488019
2026-02-22T09:10:22Z,21168.3,7078,157.5,,,2.991,21.1683,5.572798319499755
2026-02-14T09:50:46Z,8056.6,2537,54.1,,,3.176,8.0566,5.248285049938353
2026-02-12T15:35:03Z,11268.7,3616,73.8,,,3.116,11.2687,5.34814722786716
2026-02-10T15:35:19Z,12882.0,4046,82.4,,,3.184,12.882,5.234694405630596
2026-02-07T09:17:01Z,17710.7,5590,108.2,,,3.168,17.7107,5.260473423787127
2026-02-05T12:19:20Z,11275.2,3690,68.4,,,3.056,11.2752,5.454448701575139
2026-02-03T15:32:02Z,11273.5,3547,68.2,,,3.178,11.2735,5.243860971895743
2026-01-31T10:11:36Z,19316.9,6139,139.8,,,3.147,19.3169,5.296743611380018
2026-01-29T11:25:44Z,11276.6,3685,71.1,,,3.06,11.2766,5.446381592560405
2026-01-27T11:23:10Z,10787.6,3427,64.0,,,3.148,10.787600000000001,5.294659300184161
2026-01-24T10:20:09Z,16187.7,5177,100.9,,,3.127,16.1877,5.330178674755112
2026-01-20T11:24:43Z,11347.0,3663,72.0,,,3.098,11.347,5.380276725125584
2026-01-15T08:14:42Z,5318.0,1648,32.3,,,3.227,5.318,5.164848940704526
2026-01-13T12:05:41Z,5011.3,1654,21.8,,,3.03,5.0113,5.500901296403461
2026-01-04T09:42:12Z,6442.1,2848,67.8,,,2.262,6.4421,7.3681977409022945
2026-01-03T12:46:57Z,3223.0,1023,19.1,,,3.151,3.223,5.290102389078498
2025-12-31T16:13:39Z,5639.3,1775,45.7,,,3.177,5.6393,5.24592295734104
2025-12-30T16:45:07Z,2420.7,784,11.1,,,3.088,2.4206999999999996,5.397887663348068
2025-12-29T15:56:30Z,5015.6,1589,40.7,,,3.156,5.0156,5.28019246617221
2025-12-28T16:09:48Z,4023.3,1295,15.5,,,3.107,4.0233,5.3645846278759555
2025-12-27T10:49:40Z,6844.5,2160,109.0,,,3.169,6.8445,5.259697567389875
2025-12-26T16:16:15Z,5012.2,1456,41.6,,,3.442,5.0122,4.841520024473618
2025-12-25T15:34:51Z,5011.0,1480,32.0,,,3.386,5.011,4.922503824918513
2025-12-24T15:35:50Z,4029.7,1262,36.8,,,3.193,4.0297,5.219577966928886
2025-12-23T11:40:59Z,6758.5,2086,87.5,,,3.24,6.7585,5.144139478681167
2025-12-22T16:01:00Z,1867.3,565,8.7,,,3.305,1.8673,5.042931862403827
2025-12-21T12:40:23Z,5334.4,1652,45.1,,,3.229,5.3344,5.161467706458709
2025-12-20T10:01:07Z,5008.1,1457,22.2,,,3.437,5.008100000000001,4.8488115918878085
2025-12-19T12:34:31Z,6438.9,2189,43.1,,,2.941,6.438899999999999,5.666081680618325
2025-12-18T15:58:22Z,1775.9,550,9.4,,,3.229,1.7759,5.161702047787975
2025-12-17T15:40:16Z,6443.6,1918,45.9,,,3.36,6.4436,4.960994888985453
2025-12-16T10:41:24Z,2741.1,850,11.5,,,3.225,2.7411,5.168241460241022
2025-12-15T15:20:33Z,5008.7,1475,24.6,,,3.396,5.0087,4.908126526510538
2025-12-14T17:19:43Z,3628.2,1094,15.0,,,3.316,3.6281999999999996,5.025448799220919
2025-12-13T15:38:42Z,6442.9,1906,44.8,,,3.38,6.4429,4.930491962728999
2025-12-12T17:06:35Z,2826.6,895,11.7,,,3.158,2.8266,5.277247104884549
2025-12-11T15:26:20Z,5079.2,1523,23.3,,,3.335,5.0792,4.9975061689504905
2025-12-10T16:57:30Z,3630.6,1081,20.3,,,3.359,3.6306,4.96244881470464
2025-12-09T11:57:54Z,8053.9,2510,58.5,,,3.209,8.0539,5.194170939958695
2025-12-08T14:53:32Z,5009.9,1514,21.7,,,3.309,5.0099,5.036694012521873
2025-12-07T18:17:54Z,2581.8,796,6.8,,,3.243,2.5818000000000003,5.138533839440184
2025-12-06T16:23:12Z,4834.5,1510,23.5,,,3.202,4.8345,5.205640017926707
2025-12-05T14:30:48Z,5011.6,1528,21.7,,,3.28,5.0116000000000005,5.081544150903237
2025-12-04T12:10:08Z,3465.3,1044,8.6,,,3.319,3.4653,5.021210284823824
2025-12-03T16:24:14Z,8051.4,2469,55.0,,,3.261,8.0514,5.110912387907693
2025-12-02T17:16:49Z,5007.4,1604,40.1,,,3.122,5.0074,5.338765294031501
2025-12-01T16:36:33Z,5639.1,1779,26.6,,,3.17,5.6391,5.257931230160841
2025-11-28T11:33:00Z,5050.8,1544,42.0,,,3.271,5.050800000000001,5.09490245769647
2025-11-27T16:05:28Z,5080.2,1635,41.7,,,3.107,5.0802,5.363962048738239
2025-11-26T17:39:30Z,5008.5,1423,23.3,,,3.52,5.0085,4.735283351635553
2025-11-24T16:47:48Z,5011.2,1529,23.5,,,3.277,5.0112,5.085275649212432
2025-11-22T16:09:28Z,5164.1,1626,25.6,,,3.176,5.1641,5.247768246160996
2025-11-21T15:50:25Z,5009.0,1529,21.9,,,3.276,5.009,5.087509150196313
2025-11-19T15:35:49Z,8051.3,2433,51.8,,,3.309,8.0513,5.036453740389751
2025-11-17T16:09:13Z,5010.9,1515,21.8,,,3.308,5.0108999999999995,5.039014947414636
2025-11-16T10:40:15Z,5015.0,1590,22.0,,,3.154,5.015,5.2841475573280166
2025-11-15T11:10:00Z,8054.0,2497,58.8,,,3.225,8.054,5.16720470159755
2025-11-12T11:15:03Z,5008.6,1558,39.4,,,3.215,5.0086,5.184416137576701
2025-11-08T09:03:30Z,5015.0,1452,27.1,,,3.454,5.015,4.825523429710867
2025-11-07T09:41:42Z,5014.3,1528,24.0,,,3.282,5.0143,5.078807942617447
2025-11-05T17:21:36Z,5484.4,1823,34.0,,,3.008,5.4844,5.5399557532881145
2025-11-04T17:28:03Z,5204.6,1875,32.4,,,2.776,5.2046,6.004303885024786
2025-11-01T11:45:15Z,5018.3,1459,22.7,,,3.44,5.0183,4.845598443031837
2025-10-29T16:11:15Z,5007.5,1536,21.7,,,3.26,5.0075,5.1123315027458816
2025-10-25T08:31:01Z,21296.2,5940,194.6,176.9,189.0,3.585,21.296200000000002,4.648716672457996
2025-10-23T09:57:38Z,8045.9,2556,60.2,,,3.148,8.0459,5.294622105668726
2025-10-19T18:07:40Z,5012.4,1560,24.0,,,3.213,5.0123999999999995,5.187135902960658
2025-10-17T14:52:45Z,11349.0,3363,73.8,,,3.375,11.349,4.938761124328134
2025-10-15T08:15:11Z,8213.5,2532,54.4,,,3.244,8.2135,5.137882754002558
2025-10-13T16:18:55Z,16254.4,5353,0.0,,,3.037,16.2544,5.4887702201660264
2025-10-11T11:06:43Z,11269.1,3750,135.1,,,3.005,11.2691,5.5461394432563385
2025-10-10T11:24:56Z,11507.6,3736,158.2,,,3.08,11.5076,5.4109168433614885
2025-10-08T08:26:01Z,8057.7,2482,58.0,,,3.246,8.0577,5.133805759294422
2025-10-05T09:00:39Z,21011.6,6766,208.5,,,3.105,21.011599999999998,5.366876709373235
2025-10-03T14:34:57Z,12889.7,3951,75.6,,,3.262,12.889700000000001,5.108730226459886
2025-09-30T09:57:00Z,8856.6,2682,51.6,,,3.302,8.8566,5.0470835309260895
2025-09-29T15:44:01Z,5017.4,1407,19.0,,,3.566,5.017399999999999,4.673735400805199
2025-09-27T08:58:16Z,24352.6,8189,221.4,162.7,181.0,2.974,24.3526,5.6044666004177515
2025-09-25T10:08:46Z,11284.4,3513,76.1,,,3.212,11.2844,5.188578923115097
2025-09-23T10:05:42Z,11278.6,3519,72.2,,,3.205,11.2786,5.2001134892628516
2025-09-22T17:01:33Z,5013.9,1542,21.5,,,3.252,5.0139,5.125750413849499
2025-09-20T09:33:46Z,19723.5,6388,181.9,,,3.088,19.7235,5.397960132160451
2025-09-18T10:12:30Z,12884.5,3882,86.5,,,3.319,12.8845,5.021537506306027
2025-09-16T10:06:44Z,11268.4,3365,73.2,,,3.349,11.2684,4.977044951664241
2025-09-15T08:17:05Z,8055.8,2651,74.6,,,3.039,8.0558,5.484661155109776
2025-09-13T09:01:31Z,22543.0,7376,211.2,,,3.056,22.543,5.453281876118234
2025-09-11T17:52:17Z,12894.6,4038,72.5,,,3.193,12.8946,5.219239061312487
2025-09-09T10:12:24Z,12882.2,4025,72.3,,,3.201,12.882200000000001,5.207443863108267
2025-09-08T08:18:44Z,8055.5,2568,57.8,,,3.137,8.0555,5.313140090621314
2025-09-06T09:15:51Z,21331.5,6992,193.9,,,3.051,21.3315,5.462969473939167
2025-09-04T10:05:48Z,9667.2,2862,60.7,,,3.378,9.667200000000001,4.934210526315789
