week,weekly_mileage,weekly_elevation_gain,weekly_avg_pace_min_km
1,28.619000,350.000000,5.687946
2,27.085300,260.500000,5.333151
3,23.848800,460.700000,5.351073
4,38.100900,614.800000,5.398823
5,52.847600,808.200000,5.799380
6,14.347100,115.700000,6.196374
7,17.406100,350.700000,5.991195
8,20.977000,358.300000,5.914414
9,23.753600,165.600000,6.135210
10,0.000000,0.000000,
11,0.000000,0.000000,
12,5.594200,104.400000,5.881091
13,5.297000,102.700000,5.660437
14,13.673600,131.600000,5.343631
15,15.611200,169.500000,5.262248
16,19.843300,314.900000,5.028565
17,22.443200,263.000000,5.391388
18,36.463000,400.200000,5.225388
19,21.907400,403.100000,5.555961
20,27.367300,327.500000,5.243484
21,29.965600,293.100000,5.030212
22,25.849300,271.300000,5.058809
23,26.911500,194.800000,5.140306
24,6.572300,9.300000,6.078542
25,33.810400,337.600000,5.971042
26,16.091000,311.600000,5.313529
27,22.971300,231.200000,8.249424
28,6.289500,99.800000,5.591329
29,0.000000,0.000000,
30,29.595400,446.400000,5.692889
31,31.127300,282.800000,5.577098
32,36.047600,623.300000,5.489963
33,50.569600,483.700000,5.538571
34,47.515100,566.200000,5.747296
35,48.140000,701.300000,6.691940
36,45.080600,447.100000,5.511240
37,10.621800,119.800000,5.931198
38,8.272400,76.100000,6.177167
39,0.000000,0.000000,
40,1.700100,8.900000,5.832990
41,0.000000,0.000000,
42,4.657200,46.100000,5.958516
43,3.111800,24.900000,6.411080
44,0.000000,0.000000,
45,0.000000,0.000000,
46,18.885800,213.800000,6.181893
47,39.720900,487.000000,5.529415
48,36.482300,408.700000,5.556119
49,39.260800,398.900000,5.520774
50,27.875000,186.100000,5.301046
51,34.006800,575.100000,6.020365
52,52.759100,568.100000,5.822692
53,42.825700,402.100000,5.413027
54,45.647000,352.200000,5.384801
55,41.258400,297.000000,5.964038
56,46.875300,430.500000,5.361743
57,48.332300,348.500000,5.236319
58,42.024200,355.500000,5.644367
59,21.442300,157.400000,5.190675
60,28.397400,206.000000,5.516937
61,39.560800,424.400000,5.711041
62,37.515100,368.800000,5.155702
63,24.210100,240.700000,5.220961
64,29.626800,243.400000,5.502338
65,35.971200,282.100000,5.479847
66,29.395000,452.600000,5.220276
67,15.417400,117.200000,5.153268
68,10.163700,144.300000,5.757418
69,0.000000,0.000000,
70,26.532500,133.900000,5.610729
71,34.048300,78.700000,4.965495
72,46.652900,469.200000,5.083643
73,58.777900,1446.600000,5.468892
74,48.290800,929.100000,5.650835
75,48.341100,253.900000,5.018159
76,43.538300,29.000000,5.146809
77,39.794900,308.900000,5.192458
78,51.094100,435.800000,5.053421
79,58.810000,513.700000,4.993765
80,65.948400,471.500000,5.101463
81,59.834700,300.200000,4.947798
82,53.313100,539.100000,5.267623
83,66.511300,653.000000,4.960561
84,68.798900,422.300000,4.890098
85,54.152400,446.300000,4.820654
86,52.957000,400.200000,4.902405
87,48.015700,342.400000,4.856745
88,46.426800,334.500000,4.780644
89,57.814700,497.100000,5.041682
90,43.730000,279.300000,4.859745
91,0.000000,0.000000,
92,0.000000,0.000000,
93,41.810600,523.200000,5.279762
94,35.623900,236.600000,5.026588
95,40.344100,82.500000,5.122600
96,21.714100,103.800000,5.395112
